Timestamp,Latitude,Latitude Direction,Longitude,Longitude Direction,Fix Quality,Number of Satellites,Horizontal Dilution of Precision,Altitude,Altitude Units,Geoidal Separation,Geoidal Separation Units,Age of Differential GPS Data,Differential Reference Station ID,utm easting,utm northing
163632.80,42.337302925,N,-71.08704373333333,W,5,09,1.4,15.151,M,-28.727,M,0.8,"0061*5C
",328068.2104532588,4689337.14050123
163633.80,42.337303643333335,N,-71.08704336,W,5,09,1.4,15.136,M,-28.727,M,0.8,"0061*56
",328068.24316766474,4689337.219511789
163634.80,42.337304321666664,N,-71.08704303666667,W,5,09,1.4,15.119,M,-28.727,M,0.8,"0061*50
",328068.2716538566,4689337.294181751
163635.80,42.337304735000004,N,-71.08704264833334,W,5,09,1.4,15.113,M,-28.727,M,0.8,"0061*55
",328068.30477278354,4689337.33929406
163636.80,42.33730527,N,-71.08704238833333,W,5,09,1.4,15.052,M,-28.727,M,0.8,"0061*5B
",328068.3276506884,4689337.398176009
163637.80,42.33730575,N,-71.087042075,W,5,09,1.4,15.006,M,-28.727,M,0.8,"0061*58
",328068.3547725092,4689337.45084279
163638.80,42.337306418333334,N,-71.08704234333334,W,5,10,1.2,14.904,M,-28.727,M,0.8,"0061*5F
",328068.3344875937,4689337.525598672
163639.80,42.337306821666665,N,-71.08704250166667,W,5,10,1.2,14.812,M,-28.727,M,0.8,"0061*5F
",328068.32254269207,4689337.57070591
163640.80,42.337306938333334,N,-71.08704232833334,W,5,10,1.2,14.774,M,-28.727,M,0.8,"0061*59
",328068.33714054036,4689337.583310374
163641.80,42.33730693,N,-71.08704195166666,W,5,09,1.2,14.732,M,-28.727,M,0.8,"0061*50
",328068.3681491276,4689337.581623405
163642.80,42.337306955,N,-71.08704154666667,W,5,09,1.2,14.678,M,-28.727,M,0.8,"0061*50
",328068.4015827721,4689337.583580561
163643.80,42.33730688,N,-71.08704103833334,W,5,09,1.2,14.646,M,-28.727,M,0.8,"0061*56
",328068.44325689017,4689337.57422454
163644.80,42.33730682,N,-71.08704045666667,W,5,09,1.2,14.574,M,-28.727,M,0.8,"0061*55
",328068.4910133828,4689337.566385876
163645.80,42.33730665,N,-71.08703981,W,5,09,1.2,14.506,M,-28.727,M,0.8,"0061*5D
",328068.54382504255,4689337.546201124
163646.80,42.33730646,N,-71.08703901,W,5,09,1.2,14.426,M,-28.727,M,1.8,"0061*51
",328068.6092144041,4689337.523485485
163647.80,42.33730710333333,N,-71.08703806833333,W,4,09,1.2,14.202,M,-28.727,M,0.8,"0061*56
",328068.6885459624,4689337.593018708
163648.80,42.33730618333333,N,-71.08703782,W,5,09,1.2,14.254,M,-28.727,M,0.8,"0061*5C
",328068.7064973212,4689337.490357603
163649.80,42.33730591,N,-71.08703728,W,5,09,1.2,14.166,M,-28.727,M,0.8,"0061*5E
",328068.75023973745,4689337.458914152
163650.80,42.337305575,N,-71.08703687166667,W,5,09,1.2,14.070,M,-28.727,M,0.8,"0061*58
",328068.7829668666,4689337.420889318
163651.80,42.337305275,N,-71.087036445,W,5,09,1.2,13.938,M,-28.727,M,0.8,"0061*51
",328068.8172997581,4689337.386713893
163652.80,42.337304956666664,N,-71.08703605833334,W,5,09,1.2,13.806,M,-28.727,M,0.8,"0061*5E
",328068.84828732564,4689337.350583574
163653.80,42.33730458666667,N,-71.08703559166666,W,5,09,1.2,13.659,M,-28.727,M,0.8,"0061*52
",328068.88572480256,4689337.308554308
163654.80,42.33730426,N,-71.08703508166667,W,5,09,1.2,13.460,M,-28.727,M,0.8,"0061*55
",328068.9268503485,4689337.271249258
163655.80,42.33730371,N,-71.08703459666667,W,5,09,1.2,13.268,M,-28.727,M,0.8,"0061*5C
",328068.9653076354,4689337.209195294
163656.80,42.33730179333333,N,-71.08703577833333,W,5,10,1.1,13.467,M,-28.727,M,0.8,"0061*57
",328068.86273363617,4689336.998753396
163657.80,42.33729996833333,N,-71.087036715,W,5,10,1.1,13.578,M,-28.727,M,0.8,"0061*52
",328068.7805935327,4689336.797994996
163658.80,42.33729806833333,N,-71.08703763166666,W,5,10,1.1,13.655,M,-28.727,M,0.8,"0061*5D
",328068.6998967021,4689336.588867983
163659.80,42.337296046666665,N,-71.08703859833334,W,5,10,1.1,13.728,M,-28.727,M,0.8,"0061*5E
",328068.6147490825,4689336.366331912
163700.80,42.337293945,N,-71.08703954666667,W,5,10,1.1,13.827,M,-28.727,M,0.8,"0061*5C
",328068.53089380206,4689336.134875384
163701.80,42.33729188,N,-71.08704059166666,W,5,10,1.1,13.871,M,-28.727,M,0.8,"0061*5D
",328068.43917466386,4689335.907685869
163702.80,42.337289956666666,N,-71.08704163166666,W,5,10,1.1,13.860,M,-28.727,M,0.8,"0061*5D
",328068.34825352964,4689335.696217247
163703.80,42.337287911666664,N,-71.0870428,W,5,10,1.1,13.824,M,-28.727,M,0.8,"0061*5B
",328068.2464281902,4689335.47149796
163704.80,42.337286065,N,-71.08704396,W,4,10,1.1,13.675,M,-28.727,M,0.8,"0061*53
",328068.14582991065,4689335.268785228
163705.80,42.33728465833333,N,-71.08704437166666,W,4,10,1.1,13.534,M,-28.727,M,0.8,"0061*57
",328068.1080814827,4689335.113418015
163706.80,42.337282206666664,N,-71.087045985,W,5,10,1.1,13.619,M,-28.727,M,0.8,"0061*54
",328067.9684869329,4689334.844441288
163707.80,42.33728052666667,N,-71.08704702833333,W,5,10,1.1,13.523,M,-28.727,M,0.8,"0061*59
",328067.8779543333,4689334.659999722
163708.80,42.337279108333334,N,-71.08704801333333,W,5,10,1.1,13.415,M,-28.727,M,0.8,"0061*5A
",328067.79294059926,4689334.504496292
163709.80,42.337277936666666,N,-71.087048915,W,5,10,1.1,13.267,M,-28.727,M,0.8,"0061*52
",328067.7154644581,4689334.376214813
163710.80,42.33727645166667,N,-71.08705004166667,W,4,10,1.1,13.386,M,-28.727,M,0.8,"0061*5A
",328067.61859795736,4689334.213595012
163711.80,42.337276026666665,N,-71.08705026833333,W,5,10,1.1,13.017,M,-28.727,M,0.8,"0061*5F
",328067.5987659649,4689334.166860324
163712.80,42.337275235,N,-71.08705080833333,W,5,10,1.1,12.924,M,-28.728,M,0.8,"0061*51
",328067.552121008,4689334.080043662
163713.80,42.337274601666664,N,-71.087051125,W,5,10,1.1,12.784,M,-28.728,M,0.8,"0061*5C
",328067.5243066669,4689334.0103571275
163714.80,42.337274171666664,N,-71.08705137666666,W,5,10,1.1,12.687,M,-28.728,M,0.8,"0061*57
",328067.5024014461,4689333.963117777
163715.80,42.33727381166667,N,-71.08705169166667,W,5,10,1.1,12.591,M,-28.728,M,0.8,"0061*50
",328067.47546934587,4689333.923779453
163716.80,42.33727365666667,N,-71.08705191333334,W,5,10,1.1,12.519,M,-28.728,M,0.8,"0061*5B
",328067.4567851216,4689333.907016097
163717.80,42.33727348833333,N,-71.08705204333333,W,5,10,1.1,12.469,M,-28.728,M,0.8,"0061*51
",328067.4456164292,4689333.888586824
163718.80,42.33727345,N,-71.08705206666667,W,5,10,1.1,12.396,M,-28.728,M,0.8,"0061*54
",328067.4435896603,4689333.884377379
163719.80,42.337273275,N,-71.08705207166666,W,5,10,1.1,12.328,M,-28.728,M,0.8,"0061*59
",328067.442700801,4689333.864955075
163720.80,42.33727326333333,N,-71.08705199,W,5,10,1.1,12.259,M,-28.728,M,0.8,"0061*53
",328067.44939703355,4689333.863494452
163721.80,42.33727334,N,-71.0870521,W,5,10,1.1,12.219,M,-28.728,M,0.8,"0061*59
",328067.4405437353,4689333.87223012
163722.80,42.337273468333336,N,-71.087052305,W,5,10,1.1,12.164,M,-28.728,M,0.8,"0061*52
",328067.4240047691,4689333.886895066
163723.80,42.33727364333333,N,-71.08705243166666,W,5,10,1.1,12.113,M,-28.728,M,0.8,"0061*55
",328067.414046399,4689333.9065836
163724.80,42.33727385833333,N,-71.08705254833333,W,5,10,1.1,12.050,M,-28.728,M,0.8,"0061*5A
",328067.40502088587,4689333.93069361
163725.80,42.337274013333335,N,-71.087052665,W,5,10,1.1,11.983,M,-28.728,M,0.8,"0061*5F
",328067.3958318502,4689333.948141075
163726.80,42.337274111666666,N,-71.08705289833334,W,5,10,1.1,11.901,M,-28.728,M,0.8,"0061*57
",328067.376876908,4689333.95953204
163727.80,42.33727410666667,N,-71.087053025,W,5,10,1.1,11.845,M,-28.728,M,0.8,"0061*55
",328067.3664279707,4689333.959232949
163728.80,42.337274035,N,-71.08705329166666,W,5,10,1.1,11.791,M,-28.728,M,0.8,"0061*5A
",328067.34426358086,4689333.951814112
163729.80,42.337273931666665,N,-71.08705359166666,W,5,10,1.1,11.735,M,-28.728,M,0.8,"0061*54
",328067.31926675345,4689333.940946332
163730.80,42.337273915,N,-71.08705387166667,W,5,10,1.1,11.669,M,-28.728,M,0.8,"0061*56
",328067.2961538048,4689333.939661786
163731.80,42.337273833333334,N,-71.08705421,W,5,10,1.1,11.611,M,-28.728,M,0.8,"0061*56
",328067.2680579744,4689333.931277435
163732.80,42.33727375666667,N,-71.08705450666666,W,5,10,1.1,11.551,M,-28.728,M,0.8,"0061*50
",328067.2434084361,4689333.923364046
163733.80,42.33727369333333,N,-71.08705494333333,W,5,10,1.1,11.512,M,-28.728,M,0.8,"0061*5A
",328067.20726147323,4689333.917214301
163734.80,42.33727358,N,-71.08705534166667,W,5,10,1.1,11.467,M,-28.728,M,0.8,"0061*59
",328067.17413629417,4689333.905434931
163735.80,42.33727348666667,N,-71.08705577333333,W,5,10,1.1,11.434,M,-28.728,M,0.8,"0061*59
",328067.1383194906,4689333.8959438065
163736.80,42.33727337,N,-71.08705621166666,W,5,10,1.1,11.409,M,-28.728,M,0.8,"0061*5B
",328067.1018898697,4689333.883875173
163737.80,42.33727324,N,-71.08705664,W,5,10,1.1,11.379,M,-28.728,M,0.8,"0061*53
",328067.066247748,4689333.870305756
163738.80,42.337273105,N,-71.08705705,W,5,10,1.1,11.385,M,-28.728,M,0.8,"0061*58
",328067.0321023725,4689333.856144057
163739.80,42.33727289833333,N,-71.08705748333334,W,5,10,1.1,11.380,M,-28.728,M,0.8,"0061*50
",328066.99583938567,4689333.834071501
163740.80,42.33727424,N,-71.08705765166667,W,4,10,1.1,11.312,M,-28.728,M,0.8,"0061*5B
",328066.98562796274,4689333.983393714
163741.80,42.33727422333333,N,-71.08705766833333,W,4,10,1.1,11.311,M,-28.728,M,0.8,"0061*54
",328066.9842094728,4689333.981576709
163742.80,42.33727203666667,N,-71.08705911833333,W,5,10,1.1,11.358,M,-28.728,M,0.8,"0061*58
",328066.85879313946,4689333.741695969
163743.80,42.33727298833333,N,-71.08705787166667,W,4,09,1.2,11.128,M,-28.728,M,0.8,"0061*5C
",328066.96409220854,4689333.844850525
163744.80,42.33727258,N,-71.0870574,W,5,09,1.2,10.965,M,-28.728,M,0.8,"0061*58
",328067.00183714106,4689333.798554515
163745.80,42.337272625,N,-71.08705702166667,W,5,09,1.2,10.823,M,-28.728,M,0.8,"0061*54
",328067.03312840493,4689333.8027864285
163746.80,42.33727260333333,N,-71.08705663833334,W,5,08,1.2,10.711,M,-28.728,M,0.8,"0061*5B
",328067.06464989576,4689333.7996054115
163747.80,42.337272563333336,N,-71.08705635666666,W,5,08,1.2,10.627,M,-28.728,M,0.8,"0061*5E
",328067.08774571307,4689333.794594187
163748.80,42.33727288833333,N,-71.08705464666667,W,4,09,1.2,10.442,M,-28.728,M,0.8,"0061*52
",328067.2295081351,4689333.827225338
163749.80,42.337272848333335,N,-71.08705466333333,W,4,10,1.2,10.446,M,-28.728,M,0.8,"0061*57
",328067.22802605317,4689333.822817343
163750.80,42.33727316,N,-71.08705454333334,W,5,10,1.2,10.232,M,-28.728,M,0.8,"0061*57
",328067.23876154586,4689333.857182908
163751.80,42.33727342666667,N,-71.08705391333334,W,5,09,1.2,10.069,M,-28.728,M,0.8,"0061*5D
",328067.2913902474,4689333.885520346
163752.80,42.337273593333336,N,-71.08705320166666,W,5,10,1.2,9.918,M,-28.728,M,0.8,"0061*66
",328067.35047443747,4689333.902588419
163753.80,42.33727377833333,N,-71.087052625,W,5,10,1.2,9.780,M,-28.728,M,0.8,"0061*64
",328067.3984867482,4689333.921965238
163754.80,42.337273965,N,-71.08705205,W,5,09,1.2,9.634,M,-28.728,M,0.8,"0061*6D
",328067.44636629487,4689333.9415305
163755.80,42.337274025,N,-71.08705158833334,W,5,09,1.2,9.505,M,-28.728,M,0.8,"0061*6F
",328067.48456377315,4689333.947259554
163756.80,42.33727411666667,N,-71.08705106666666,W,5,09,1.2,9.367,M,-28.728,M,0.8,"0061*60
",328067.52779059764,4689333.95638363
163757.80,42.33727424,N,-71.08705056833334,W,5,09,1.2,9.219,M,-28.728,M,0.8,"0061*6B
",328067.5691814291,4689333.969071226
163758.80,42.33727430333333,N,-71.087050125,W,5,09,1.2,9.085,M,-28.728,M,0.8,"0061*6D
",328067.60587761644,4689333.975207492
163759.80,42.33727431,N,-71.08704960333333,W,5,09,1.2,8.952,M,-28.728,M,0.8,"0061*63
",328067.6488727819,4689333.974892967
163800.80,42.337274193333336,N,-71.08704941166667,W,4,09,1.2,8.730,M,-28.728,M,0.8,"0061*64
",328067.66434509185,4689333.961550477
163801.80,42.33727418833333,N,-71.08704945666666,W,4,10,1.2,8.742,M,-28.728,M,0.8,"0061*6D
",328067.6606241851,4689333.961086254
163802.80,42.33727443,N,-71.08704832333333,W,5,10,1.2,8.582,M,-28.728,M,0.8,"0061*6D
",328067.7546513707,4689333.9856299
163803.80,42.337274576666665,N,-71.08704800166667,W,5,10,1.2,8.467,M,-28.728,M,0.8,"0061*65
",328067.78155128437,4689334.0012657065
163804.80,42.337274745,N,-71.08704767,W,5,10,1.2,8.356,M,-28.728,M,0.8,"0061*64
",328067.80933408724,4689334.019287211
163805.80,42.337274915,N,-71.08704740666667,W,5,10,1.2,8.245,M,-28.727,M,0.8,"0061*66
",328067.83149185823,4689334.037631956
163806.80,42.33727504,N,-71.08704710833334,W,5,10,1.2,8.146,M,-28.727,M,0.8,"0061*63
",328067.8564104277,4689334.050909025
163807.80,42.337275086666665,N,-71.08704696833334,W,5,10,1.2,8.057,M,-28.727,M,0.8,"0061*6B
",328067.86807137204,4689334.055807923
163808.80,42.337275211666665,N,-71.08704669333333,W,5,09,1.2,7.960,M,-28.727,M,0.8,"0061*62
",328067.89106764935,4689334.069132171
163809.80,42.337275125,N,-71.08704698,W,5,11,1.1,7.912,M,-28.727,M,0.8,"0061*6C
",328067.86721470056,4689334.060088135
163810.80,42.337275033333334,N,-71.087047155,W,5,11,1.1,7.857,M,-28.727,M,0.8,"0061*6D
",328067.85254767037,4689334.050263102
163811.80,42.33727497,N,-71.08704734666667,W,5,11,1.1,7.801,M,-28.727,M,0.8,"0061*6B
",328067.836584794,4689334.043617968
163812.80,42.33727492166667,N,-71.08704749166667,W,5,11,1.1,7.743,M,-28.727,M,0.8,"0061*69
",328067.8245073864,4689334.038544107
163813.80,42.33727489666666,N,-71.08704762833334,W,5,11,1.1,7.676,M,-28.727,M,0.8,"0061*6F
",328067.8131801,4689334.036044388
163814.80,42.337274825,N,-71.08704774666667,W,5,11,1.1,7.609,M,-28.727,M,0.8,"0061*69
",328067.8032360071,4689334.02832562
163815.80,42.33727482,N,-71.08704780166667,W,5,11,1.1,7.551,M,-28.728,M,0.8,"0061*6B
",328067.7986912606,4689334.027881618
163816.80,42.33727481,N,-71.08704783166667,W,5,10,1.1,7.491,M,-28.728,M,0.8,"0061*68
",328067.7961924856,4689334.026831854
163817.80,42.337274871666665,N,-71.08704767833333,W,5,09,1.2,7.428,M,-28.727,M,0.8,"0061*66
",328067.8089927671,4689334.033369428
163818.80,42.33727484,N,-71.087047625,W,5,10,1.1,7.381,M,-28.727,M,0.8,"0061*65
",328067.8133002792,4689334.029745246
163819.80,42.337274825,N,-71.08704756666667,W,5,10,1.1,7.341,M,-28.727,M,0.8,"0061*67
",328067.81806513085,4689334.027961662
163820.80,42.33727483166667,N,-71.08704747666667,W,5,10,1.1,7.296,M,-28.727,M,0.8,"0061*61
",328067.8254978619,4689334.028519966
163821.80,42.33727481,N,-71.08704733,W,5,10,1.1,7.258,M,-28.727,M,0.8,"0061*64
",328067.83752179996,4689334.025817488
163822.80,42.33727474166667,N,-71.087047105,W,5,10,1.1,7.216,M,-28.727,M,0.8,"0061*67
",328067.8558719723,4689334.017774644
163823.80,42.337274713333336,N,-71.08704682,W,5,10,1.1,7.178,M,-28.727,M,0.8,"0061*6A
",328067.8792741978,4689334.014052177
163824.80,42.337274701666665,N,-71.08704645833333,W,5,10,1.1,7.137,M,-28.727,M,0.8,"0061*61
",328067.9090379557,4689334.012025396
163825.80,42.337274631666666,N,-71.087046195,W,5,10,1.1,7.101,M,-28.727,M,0.8,"0061*6C
",328067.9305416385,4689334.0037199715
163826.80,42.33727465,N,-71.087045895,W,5,10,1.1,7.058,M,-28.727,M,0.8,"0061*65
",328067.95530680846,4689334.005149151
163827.80,42.337274655,N,-71.08704558833334,W,5,10,1.1,7.032,M,-28.727,M,0.8,"0061*6F
",328067.9805848674,4689334.005084286
163828.80,42.337274683333334,N,-71.08704521,W,5,10,1.1,7.011,M,-28.727,M,0.8,"0061*65
",328068.01183070696,4689334.0074655
163829.80,42.33727468166666,N,-71.08704478,W,5,10,1.1,6.979,M,-28.727,M,0.8,"0061*68
",328068.0472512925,4689334.006410974
163830.80,42.33727469666667,N,-71.08704431666666,W,5,10,1.1,6.971,M,-28.727,M,0.8,"0061*62
",328068.08546343475,4689334.007139755
