Timestamp,Latitude,Latitude Direction,Longitude,Longitude Direction,Fix Quality,Number of Satellites,Horizontal Dilution of Precision,Altitude,Altitude Units,Geoidal Separation,Geoidal Separation Units,Age of Differential GPS Data,Differential Reference Station ID,utm easting,utm northing
161702.80,42.339028436666666,N,-71.084862555,W,5,15,1.0,4.112,M,-28.723,M,0.8,"0061*64
",328252.6024032893,4689524.337392168
161703.80,42.339028505,N,-71.08486255833333,W,5,17,0.9,4.108,M,-28.723,M,0.8,"0061*64
",328252.602314729,4689524.344986797
161704.80,42.339028481666666,N,-71.084862445,W,5,17,0.9,4.096,M,-28.723,M,0.8,"0061*60
",328252.6115877945,4689524.3421668885
161705.80,42.33902851333333,N,-71.08486247333333,W,5,18,0.9,4.102,M,-28.723,M,0.8,"0061*67
",328252.6093398626,4689524.345740461
161706.80,42.33902852,N,-71.08486242833334,W,5,18,0.9,4.104,M,-28.723,M,0.8,"0061*67
",328252.61306518957,4689524.346389849
161707.80,42.339028518333336,N,-71.08486241333334,W,5,18,0.9,4.107,M,-28.723,M,0.8,"0061*68
",328252.614296378,4689524.346174479
161708.80,42.339028506666665,N,-71.084862375,W,5,18,0.9,4.106,M,-28.723,M,0.8,"0061*69
",328252.6174225808,4689524.344801556
161709.80,42.339028543333335,N,-71.08486235666666,W,5,18,0.9,4.109,M,-28.723,M,0.8,"0061*65
",328252.6190327427,4689524.348836077
161710.80,42.33902855666667,N,-71.08486235166667,W,5,18,0.9,4.111,M,-28.723,M,0.8,"0061*62
",328252.6194809514,4689524.350306544
161711.80,42.339028578333334,N,-71.08486231333333,W,5,18,0.9,4.112,M,-28.723,M,0.8,"0061*63
",328252.6226979055,4689524.352635034
161712.80,42.339028585,N,-71.08486231,W,5,18,0.9,4.120,M,-28.723,M,0.8,"0061*68
",328252.62299066107,4689524.353368584
161713.80,42.339028585,N,-71.08486228666666,W,5,18,0.9,4.120,M,-28.723,M,0.8,"0061*62
",328252.6249129036,4689524.353321453
161714.80,42.33902857333333,N,-71.08486228833333,W,5,18,0.9,4.119,M,-28.723,M,0.8,"0061*6A
",328252.6247438374,4689524.352029324
161715.80,42.339028569999996,N,-71.08486228,W,5,18,0.9,4.128,M,-28.723,M,0.8,"0061*65
",328252.6254212742,4689524.351642352
161716.80,42.339028605,N,-71.08486221666666,W,5,18,0.9,4.125,M,-28.723,M,0.8,"0061*65
",328252.63073407474,4689524.355400909
161717.80,42.33902860166667,N,-71.08486218166667,W,5,18,0.9,4.126,M,-28.723,M,0.8,"0061*6F
",328252.6336083589,4689524.354960072
161718.80,42.33902862833333,N,-71.08486217833334,W,5,18,0.9,4.133,M,-28.723,M,0.8,"0061*6D
",328252.6339555665,4689524.357914468
161719.80,42.339028633333335,N,-71.08486216166666,W,5,18,0.9,4.136,M,-28.723,M,0.8,"0061*69
",328252.63534221024,4689524.358436016
161720.80,42.33902864666667,N,-71.08486216,W,5,18,0.9,4.137,M,-28.723,M,0.8,"0061*6B
",328252.635515814,4689524.359913214
161721.80,42.339028641666665,N,-71.08486213833334,W,5,18,0.9,4.139,M,-28.723,M,0.8,"0061*6D
",328252.6372871389,4689524.359314238
161722.80,42.33902865333334,N,-71.08486211666667,W,5,18,0.9,4.143,M,-28.723,M,0.8,"0061*69
",328252.63910383853,4689524.360565969
161723.80,42.33902865833333,N,-71.08486211166667,W,5,18,0.9,4.141,M,-28.723,M,0.8,"0061*6B
",328252.6395293588,4689524.361111081
161724.80,42.33902865833333,N,-71.08486209166666,W,5,18,0.9,4.147,M,-28.723,M,0.8,"0061*6B
",328252.64117699437,4689524.361070684
161725.80,42.339028668333334,N,-71.0848621,W,5,18,0.9,4.150,M,-28.723,M,0.8,"0061*64
",328252.64051770605,4689524.36219794
161726.80,42.33902867333333,N,-71.08486207333333,W,5,18,0.9,4.149,M,-28.723,M,0.8,"0061*6C
",328252.6427281664,4689524.362699287
161727.80,42.339028703333334,N,-71.08486202666667,W,5,18,0.9,4.154,M,-28.723,M,1.8,"0061*63
",328252.64665432327,4689524.365936297
161728.80,42.33902872666667,N,-71.084862,W,5,18,0.9,4.158,M,-28.723,M,2.8,"0061*61
",328252.64891469595,4689524.368473424
161729.80,42.339028695,N,-71.08486197,W,5,18,0.9,4.155,M,-28.723,M,0.8,"0061*65
",328252.6512999324,4689524.364896486
161730.80,42.339028715,N,-71.08486196666667,W,5,18,0.9,4.154,M,-28.723,M,0.8,"0061*63
",328252.6516289893,4689524.3671106
