Timestamp,Latitude,Latitude Direction,Longitude,Longitude Direction,Fix Quality,Number of Satellites,Horizontal Dilution of Precision,Altitude,Altitude Units,Geoidal Separation,Geoidal Separation Units,Age of Differential GPS Data,Differential Reference Station ID,utm easting,utm northing
162944.80,42.338204348333335,N,-70.91534745,W,5,12,1.5,4.609,M,-28.724,M,0.8,"0061*61
",342215.41752164345,4689104.361485185
162945.80,42.338203475,N,-70.91534887833333,W,5,11,1.2,4.536,M,-28.724,M,0.8,"0061*6C
",342215.29766849475,4689104.2671594005
162946.80,42.33819900666667,N,-70.91535429,W,5,10,2.2,4.527,M,-28.724,M,0.8,"0061*6C
",342214.8406692832,4689103.781031285
162947.80,42.33819261833333,N,-70.91536083833333,W,5,11,2.2,4.761,M,-28.724,M,0.8,"0061*6D
",342214.28522718337,4689103.0838130275
162948.80,42.33818655333334,N,-70.915371965,W,5,08,3.9,4.905,M,-28.724,M,0.8,"0061*68
",342213.35342131864,4689102.430993361
162949.80,42.33817759,N,-70.91538209166667,W,5,08,3.5,4.867,M,-28.724,M,0.8,"0061*61
",342212.4967484465,4689101.454483613
162950.80,42.33816896166667,N,-70.91539209666666,W,5,07,3.9,4.828,M,-28.724,M,0.8,"0061*63
",342211.6509363445,4689100.514947039
162951.80,42.338160183333336,N,-70.915401325,W,5,06,4.5,4.837,M,-28.724,M,0.8,"0061*62
",342210.868732247,4689099.557313221
162952.80,42.338150283333334,N,-70.9154118,W,5,07,4.0,4.775,M,-28.724,M,0.8,"0061*6B
",342209.98101959645,4689098.477441443
162953.80,42.33814079,N,-70.91542161666666,W,5,07,4.0,4.700,M,-28.724,M,0.8,"0061*60
",342209.14855865645,4689097.441504978
162954.80,42.338130918333334,N,-70.91543042166667,W,5,07,4.1,4.672,M,-28.724,M,0.8,"0061*66
",342208.3984944363,4689096.361680757
162955.80,42.33812171666667,N,-70.91543993833334,W,5,08,4.1,4.726,M,-28.724,M,0.8,"0061*61
",342207.59147714614,4689095.3575748345
162956.80,42.338112566666666,N,-70.91544952333334,W,5,08,4.1,4.654,M,-28.724,M,0.8,"0061*6F
",342206.7789594119,4689094.359332933
162957.80,42.33810235166667,N,-70.9154593,W,5,07,4.1,4.672,M,-28.724,M,0.8,"0061*69
",342205.9479878298,4689093.2431878075
162958.80,42.338093783333335,N,-70.91546891833333,W,5,06,4.1,4.885,M,-28.724,M,0.8,"0061*66
",342205.1341783946,4689092.309596956
162959.80,42.33808509333333,N,-70.91548030833333,W,5,07,6.2,5.366,M,-28.724,M,0.8,"0061*6F
",342204.1741107354,4689091.365783725
163000.80,42.33806939,N,-70.91551422,W,5,06,6.2,13.983,M,-28.724,M,0.8,"0061*50
",342201.3411174879,4689089.684993415
163001.80,42.33804259666667,N,-70.91555697,W,1,04,80.4,25.575,M,-28.724,M,0.8,"*63
",342197.75226259395,4689086.789157636
163002.80,42.338021015,N,-70.91561564333334,W,5,05,6.2,42.151,M,-28.724,M,0.8,"0061*58
",342192.8646410385,4689084.501583556
163003.80,42.33797577833333,N,-70.91575405,W,5,07,4.3,85.747,M,-28.724,M,0.8,"0061*5B
",342181.34923055384,4689079.735304698
163004.80,42.33799475666667,N,-70.915665935,W,5,05,6.2,52.425,M,-28.724,M,0.8,"0061*52
",342188.65581859014,4689081.679154922
163005.80,42.33802115833333,N,-70.91563962333333,W,1,05,5.5,38.505,M,-28.724,M,0.8,"*54
",342190.88947366213,4689084.562000876
163006.80,42.338019796666664,N,-70.91557402333333,W,5,06,6.2,14.151,M,-28.724,M,0.8,"0061*5C
",342196.2903421031,4689084.289062368
163007.80,42.33800917,N,-70.915590195,W,5,06,6.2,16.354,M,-28.724,M,0.8,"0061*54
",342194.93150354724,4689083.1390738385
163008.80,42.33801707666667,N,-70.91553958333333,W,5,05,6.2,-4.199,M,-28.724,M,0.8,"0061*42
",342199.1207828214,4689083.923119665
163009.80,42.33802961,N,-70.91547826333333,W,5,05,6.2,-28.752,M,-28.724,M,0.8,"0061*7F
",342204.2038094115,4689085.201048262
163010.80,42.33804181833333,N,-70.91540665666666,W,5,05,6.2,-55.777,M,-28.724,M,0.8,"0061*75
",342210.1334593933,4689086.423804528
163011.80,42.33797316333333,N,-70.915611335,W,5,05,6.2,11.496,M,-28.724,M,0.8,"0061*52
",342193.09987819375,4689079.180077724
163012.80,42.337957779999996,N,-70.915641905,W,5,08,4.1,19.002,M,-28.724,M,0.8,"0061*5B
",342190.54297203687,4689077.528623507
163013.80,42.33794868333333,N,-70.91565031666667,W,5,06,6.2,18.688,M,-28.724,M,0.8,"0061*58
",342189.8272452302,4689076.534128225
163014.80,42.337938325,N,-70.91567793666667,W,5,07,6.2,24.595,M,-28.724,M,0.8,"0061*53
",342187.5259348686,4689075.43518295
163015.80,42.337925418333334,N,-70.915695235,W,5,08,4.9,27.392,M,-28.724,M,0.8,"0061*5C
",342186.0685724466,4689074.034112827
163016.80,42.33791746333333,N,-70.91570293666666,W,5,08,4.3,26.388,M,-28.724,M,0.8,"0061*5F
",342185.41419196955,4689073.165072464
163017.80,42.337909571666664,N,-70.91570775833334,W,5,08,4.3,24.872,M,-28.724,M,0.8,"0061*5B
",342184.9972310056,4689072.2977199275
163018.80,42.337900768333334,N,-70.91571809166666,W,5,06,4.3,24.051,M,-28.724,M,0.8,"0061*5A
",342184.123925182,4689071.339363634
163019.80,42.33789307333333,N,-70.91572735833333,W,5,07,4.3,22.932,M,-28.724,M,0.8,"0061*5B
",342183.3412661558,4689070.502098607
163020.80,42.33788412333333,N,-70.91573537,W,5,08,4.3,22.325,M,-28.724,M,0.8,"0061*50
",342182.6588575002,4689069.52314773
163021.80,42.337876816666665,N,-70.91574525666667,W,5,09,4.3,21.863,M,-28.724,M,0.8,"0061*5B
",342181.82609241985,4689068.730154541
163022.80,42.33786861666667,N,-70.91575170833333,W,5,08,4.3,20.663,M,-28.724,M,0.8,"0061*54
",342181.27407611674,4689067.831589575
163023.80,42.33785914166667,N,-70.91575781166667,W,5,08,9.1,19.554,M,-28.724,M,0.8,"0061*58
",342180.74756679346,4689066.790800542
163024.80,42.33785044166667,N,-70.91576992833333,W,5,06,6.2,19.713,M,-28.724,M,0.8,"0061*5D
",342179.7276028446,4689065.847228719
163025.80,42.33783880166666,N,-70.91578119833333,W,5,07,4.9,20.576,M,-28.724,M,0.8,"0061*52
",342178.7700345608,4689064.575624316
163026.80,42.33782638666667,N,-70.91578251333334,W,5,08,6.2,19.677,M,-28.724,M,0.8,"0061*56
",342178.6306448845,4689063.199487307
163027.80,42.33781669333333,N,-70.91578984333333,W,1,05,13.3,19.229,M,-28.724,M,0.8,"*6D
",342178.0025328231,4689062.136731048
163028.80,42.33780431666667,N,-70.91579595333333,W,5,06,4.4,18.621,M,-28.724,M,0.8,"0061*51
",342177.4682147128,4689060.773749826
163029.80,42.337794556666665,N,-70.915805365,W,5,07,4.4,18.350,M,-28.724,M,0.8,"0061*52
",342176.6684425444,4689059.707454364
163030.80,42.33778586166667,N,-70.91581449833333,W,5,07,6.2,17.474,M,-28.725,M,0.8,"0061*5E
",342175.89426413993,4689058.758901383
163031.80,42.337774195,N,-70.91582447666667,W,5,06,6.2,17.369,M,-28.725,M,0.8,"0061*50
",342175.04303835134,4689057.481939089
163032.80,42.337765855,N,-70.915833825,W,5,06,4.4,16.990,M,-28.725,M,0.8,"0061*50
",342174.25203531515,4689056.573204969
163033.80,42.33775549166667,N,-70.91584240166667,W,5,05,6.2,16.939,M,-28.725,M,0.8,"0061*50
",342173.51954234974,4689055.438365206
163034.80,42.33774409,N,-70.91585103333334,W,5,07,5.5,16.833,M,-28.725,M,0.8,"0061*5B
",342172.7799205833,4689054.188329727
163035.80,42.337735445,N,-70.91586112666667,W,5,08,4.3,16.490,M,-28.725,M,0.8,"0061*52
",342171.9267788597,4689053.247110972
163036.80,42.337721656666666,N,-70.91586268,W,5,09,1.9,14.131,M,-28.725,M,0.8,"0061*5C
",342171.764317646,4689051.718919732
163037.80,42.33770886,N,-70.91586735666667,W,5,09,1.9,12.690,M,-28.725,M,0.8,"0061*56
",342171.3470287401,4689050.306641342
163038.80,42.33769778,N,-70.91587728833333,W,5,11,1.9,12.515,M,-28.725,M,0.8,"0061*5E
",342170.50111335143,4689049.094737171
163039.80,42.33768448,N,-70.91588294833333,W,5,11,1.5,11.296,M,-28.725,M,0.8,"0061*5A
",342170.0015552689,4689047.628393155
163040.80,42.33767290833333,N,-70.91589215,W,5,10,1.7,11.054,M,-28.725,M,0.8,"0061*5A
",342169.21454871644,4689046.360538941
163041.80,42.33766226,N,-70.91589936333334,W,5,09,1.8,10.642,M,-28.725,M,0.8,"0061*5F
",342168.5936560618,4689045.191522513
163042.80,42.33765195666667,N,-70.915907915,W,5,09,1.8,10.407,M,-28.725,M,0.8,"0061*52
",342167.86337076913,4689044.06329938
163043.80,42.337641418333334,N,-70.91591777166667,W,5,07,2.5,10.291,M,-28.725,M,0.8,"0061*5C
",342167.0249878821,4689042.911403763
163044.80,42.337631253333335,N,-70.91592835833333,W,5,07,2.5,10.319,M,-28.725,M,0.8,"0061*5D
",342166.12739930814,4689041.802318575
163045.80,42.33762185333333,N,-70.91593779666667,W,5,05,6.2,9.856,M,-28.725,M,0.8,"0061*69
",342165.3263271523,4689040.77604869
163046.80,42.337612711666665,N,-70.91594365166667,W,5,05,6.2,8.948,M,-28.725,M,0.8,"0061*67
",342164.8211059697,4689039.771813612
163047.80,42.337602888333336,N,-70.91594933,W,5,05,6.2,7.519,M,-28.725,M,0.8,"0061*67
",342164.3287335756,4689038.691557521
163048.80,42.337593651666666,N,-70.91595470333333,W,5,05,6.2,5.574,M,-28.725,M,0.8,"0061*65
",342163.8629554968,4689037.675879575
163049.80,42.337585755,N,-70.91595736,W,5,05,6.2,3.183,M,-28.725,M,0.8,"0061*67
",342163.62433626933,4689036.803954597
163050.80,42.337571876666665,N,-70.91597975666667,W,5,07,4.0,7.434,M,-28.725,M,0.8,"0061*6A
",342161.7445153836,4689035.304457123
163051.80,42.33756358833333,N,-70.91598294166667,W,5,05,6.2,5.369,M,-28.725,M,0.8,"0061*6F
",342161.46139036556,4689034.390021688
