Timestamp,Latitude,Latitude Direction,Longitude,Longitude Direction,Fix Quality,Number of Satellites,Horizontal Dilution of Precision,Altitude,Altitude Units,Geoidal Separation,Geoidal Separation Units,Age of Differential GPS Data,Differential Reference Station ID,utm easting,utm northing
161335.80,42.33878300666667,N,-71.08482751833333,W,5,15,0.9,7.199,M,-28.723,M,0.8,"0061*63
",328254.8205880694,4689497.013491372
161336.80,42.3387854,N,-71.08482935166667,W,4,16,0.9,7.111,M,-28.723,M,0.8,"0061*63
",328254.6760703012,4689497.282955853
161337.80,42.33878932333333,N,-71.08481933,W,5,15,0.9,7.157,M,-28.723,M,0.8,"0061*6A
",328255.5123569791,4689497.698369896
161338.80,42.338797668333335,N,-71.08481478333333,W,4,14,0.9,7.092,M,-28.723,M,0.8,"0061*6A
",328255.90964010457,4689498.615835007
161339.80,42.338805971666666,N,-71.08480664833333,W,4,15,0.9,7.112,M,-28.723,M,0.8,"0061*62
",328256.6024237928,4689499.521425549
161340.80,42.338812886666666,N,-71.08479252666666,W,5,15,0.9,7.162,M,-28.723,M,0.8,"0061*65
",328257.784621106,4689500.260760342
161341.80,42.338821171666666,N,-71.08478268,W,5,15,0.9,7.158,M,-28.723,M,0.8,"0061*6A
",328258.6183649809,4689501.160858045
161342.80,42.33882966666667,N,-71.08477332666666,W,5,14,0.9,7.153,M,-28.723,M,0.8,"0061*68
",328259.4120385909,4689502.085271178
161343.80,42.338837106666666,N,-71.08476418166667,W,5,16,0.9,7.153,M,-28.723,M,0.8,"0061*6C
",328260.1856768869,4689502.892955474
161344.80,42.33884568166667,N,-71.08475404666666,W,5,15,0.9,7.127,M,-28.723,M,0.8,"0061*6B
",328261.04396312713,4689503.82467337
161345.80,42.33885372333334,N,-71.08474576,W,5,15,0.9,7.086,M,-28.723,M,0.8,"0061*61
",328261.74852788355,4689504.70090197
161346.80,42.338861306666665,N,-71.08473629333334,W,5,14,0.9,7.067,M,-28.723,M,0.8,"0061*61
",328262.549055369,4689505.523852896
161347.80,42.338869215,N,-71.08472586333333,W,5,16,0.9,7.077,M,-28.723,M,0.8,"0061*6B
",328263.42982870835,4689506.380946986
161348.80,42.33887695333333,N,-71.08471537833333,W,5,17,0.9,7.078,M,-28.723,M,0.8,"0061*61
",328264.31467003,4689507.219052893
161349.80,42.33888543333333,N,-71.084706225,W,5,16,0.9,7.049,M,-28.723,M,0.8,"0061*69
",328265.0918250147,4689508.142204947
161350.80,42.338893965,N,-71.08469613833333,W,5,16,0.9,7.055,M,-28.723,M,0.8,"0061*69
",328265.9460102245,4689509.069209195
161351.80,42.33890182166667,N,-71.084686015,W,5,16,0.9,7.060,M,-28.723,M,0.8,"0061*6D
",328266.8013782811,4689509.921185883
161352.80,42.338910043333335,N,-71.08467517333334,W,5,16,0.9,7.027,M,-28.723,M,0.8,"0061*6B
",328267.7169174345,4689510.812242318
161353.80,42.338917975,N,-71.08466555333334,W,5,16,0.9,7.028,M,-28.723,M,0.8,"0061*61
",328268.5310237104,4689511.673563967
161354.80,42.33892581833334,N,-71.08465509,W,5,16,0.9,7.065,M,-28.723,M,0.8,"0061*65
",328269.414364674,4689512.523373696
161355.80,42.33893408833333,N,-71.08464587166667,W,5,14,0.9,7.065,M,-28.723,M,0.8,"0061*6E
",328270.19630156003,4689513.423076104
161356.80,42.33894253333333,N,-71.0846351,W,5,15,0.9,7.034,M,-28.723,M,0.8,"0061*6C
",328271.10668109043,4689514.339073803
161357.80,42.338951355,N,-71.084624995,W,5,15,0.9,7.029,M,-28.723,M,0.8,"0061*63
",328271.963164571,4689515.298244013
161358.80,42.33896017,N,-71.08461580166667,W,5,15,0.9,7.065,M,-28.723,M,0.8,"0061*6D
",328272.74452493014,4689516.25851528
161359.80,42.338968845,N,-71.08460594666667,W,5,15,0.9,7.031,M,-28.723,M,0.8,"0061*6E
",328273.5800132493,4689517.201904372
161400.80,42.33897751166667,N,-71.08459489,W,5,13,0.9,6.990,M,-28.723,M,0.8,"0061*62
",328274.5144741018,4689518.1419412885
161401.80,42.33898560833333,N,-71.08458433666667,W,5,15,0.9,6.974,M,-28.722,M,0.8,"0061*66
",328275.40591754054,4689519.019700706
161402.80,42.33899450166667,N,-71.08457340666666,W,5,15,0.9,6.989,M,-28.722,M,0.8,"0061*67
",328276.3305599299,4689519.985163276
161403.80,42.339002665,N,-71.084562265,W,5,15,0.9,6.937,M,-28.722,M,0.8,"0061*62
",328277.2706523215,4689520.869137545
161404.80,42.33901081333333,N,-71.08455203,W,5,16,0.9,6.926,M,-28.722,M,0.8,"0061*62
",328278.13601087,4689521.753277387
161405.80,42.33901915,N,-71.08454190333333,W,5,15,0.9,6.904,M,-28.722,M,0.8,"0061*66
",328278.99295719684,4689522.658549099
161406.80,42.339027495,N,-71.08453114666666,W,5,15,0.9,6.917,M,-28.722,M,0.8,"0061*68
",328279.90182647074,4689523.563473939
161407.80,42.33903580166667,N,-71.08451976166667,W,5,16,0.9,6.939,M,-28.722,M,0.8,"0061*60
",328280.86235433427,4689524.462873314
161408.80,42.33904412333333,N,-71.08450903,W,5,16,0.9,6.917,M,-28.722,M,0.8,"0061*6C
",328281.76910007757,4689525.365257883
161409.80,42.339052413333334,N,-71.08449849,W,5,16,0.9,6.889,M,-28.722,M,0.8,"0061*66
",328282.65996956977,4689526.2645133
161410.80,42.33905971833333,N,-71.084487475,W,5,15,0.9,6.918,M,-28.722,M,0.8,"0061*6D
",328283.58728884783,4689527.053432806
161411.80,42.339068185,N,-71.08447578833334,W,5,15,0.9,6.916,M,-28.722,M,0.8,"0061*6C
",328284.5731031055,4689527.9699902255
161412.80,42.339076755,N,-71.08446395166666,W,5,16,0.9,6.889,M,-28.722,M,0.8,"0061*65
",328285.57155563694,4689528.897719231
161413.80,42.339085555,N,-71.08445291833333,W,5,16,0.9,6.885,M,-28.722,M,0.8,"0061*64
",328286.5044540687,4689529.852610443
161414.80,42.339094251666666,N,-71.08444279333334,W,5,16,0.9,6.884,M,-28.722,M,0.8,"0061*66
",328287.3622409906,4689530.79786175
161415.80,42.33910372166667,N,-71.08443381,W,5,16,0.9,6.910,M,-28.722,M,0.8,"0061*61
",328288.1280803938,4689531.831291493
161416.80,42.33911149833333,N,-71.084429,W,4,15,0.9,6.832,M,-28.722,M,0.8,"0061*63
",328288.54550436785,4689532.685117439
161417.80,42.339119276666665,N,-71.08443648,W,5,15,0.9,6.881,M,-28.722,M,0.8,"0061*69
",328287.9504629939,4689533.563947716
161418.80,42.33912673,N,-71.084446215,W,5,16,0.9,6.918,M,-28.722,M,0.8,"0061*6F
",328287.168766633,4689534.411243204
161419.80,42.33913494,N,-71.08445681833334,W,5,16,0.9,6.928,M,-28.722,M,0.8,"0061*62
",328286.31759550155,4689535.344314447
161420.80,42.339142796666664,N,-71.08446844833334,W,5,17,0.9,6.895,M,-28.722,M,0.8,"0061*64
",328285.38088438916,4689536.24022418
161421.80,42.339150751666665,N,-71.08448067,W,5,16,0.9,6.874,M,-28.722,M,0.8,"0061*66
",328284.3956987767,4689537.148248095
161422.80,42.339158235,N,-71.08449271666667,W,5,17,0.9,6.868,M,-28.722,M,0.8,"0061*6E
",328283.42364625173,4689538.003543749
161423.80,42.33916595,N,-71.08450481333334,W,5,17,0.9,6.876,M,-28.722,M,0.8,"0061*61
",328282.448105518,4689538.884665343
161424.80,42.33917368666667,N,-71.08451654833334,W,5,17,0.9,6.869,M,-28.722,M,0.8,"0061*6F
",328281.50241866254,4689539.767462594
161425.80,42.339180911666666,N,-71.084529065,W,5,16,0.9,6.804,M,-28.722,M,0.8,"0061*6C
",328280.490944318,4689540.59502192
161426.80,42.33918910333333,N,-71.08454070166667,W,5,14,0.9,6.773,M,-28.722,M,0.8,"0061*67
",328279.5545973873,4689541.528145145
161427.80,42.339198096666664,N,-71.08455212666667,W,5,14,1.0,6.756,M,-28.722,M,0.8,"0061*67
",328278.6378704262,4689542.549860002
161428.80,42.33920565166667,N,-71.08456377,W,5,12,1.2,6.784,M,-28.722,M,0.8,"0061*69
",328277.6992416511,4689543.412299971
161429.80,42.339213173333334,N,-71.084574885,W,5,13,1.0,6.793,M,-28.722,M,0.8,"0061*69
",328276.804047243,4689544.269971636
161430.80,42.33922043166667,N,-71.08458671666666,W,5,15,0.9,6.777,M,-28.722,M,0.8,"0061*6D
",328275.84909615107,4689545.099849655
161431.80,42.33922804,N,-71.08459815333333,W,5,16,0.9,6.764,M,-28.722,M,0.8,"0061*63
",328274.92763875023,4689545.967794892
161432.80,42.339236093333334,N,-71.08460962,W,5,16,0.9,6.787,M,-28.722,M,0.8,"0061*69
",328274.004921556,4689546.885214709
161433.80,42.3392436,N,-71.084622095,W,5,13,0.9,6.763,M,-28.722,M,0.8,"0061*67
",328272.9976484708,4689547.743967967
161434.80,42.339251255,N,-71.08463437,W,5,13,1.0,6.750,M,-28.722,M,0.8,"0061*63
",328272.00725572504,4689548.618788733
161435.80,42.33925931666667,N,-71.084646245,W,5,15,0.9,6.710,M,-28.722,M,0.8,"0061*65
",328271.050922876,4689549.537959014
161436.80,42.33926705,N,-71.08465857833333,W,5,15,0.9,6.657,M,-28.722,M,0.8,"0061*6A
",328270.05593829806,4689550.421596206
161437.80,42.339274665,N,-71.08467062,W,5,11,1.2,6.685,M,-28.722,M,0.8,"0061*6D
",328269.08465973486,4689551.291504455
161438.80,42.339282653333335,N,-71.08468183166667,W,5,14,0.9,6.700,M,-28.722,M,0.8,"0061*68
",328268.18277431175,4689552.201192308
161439.80,42.339290415,N,-71.08469350833333,W,5,14,0.9,6.657,M,-28.722,M,0.8,"0061*6D
",328267.2419647159,4689553.086649851
161440.80,42.339298013333334,N,-71.084705005,W,5,14,0.9,6.646,M,-28.722,M,0.8,"0061*61
",328266.3155393401,4689553.9536070535
161441.80,42.33930573166667,N,-71.084716745,W,5,14,0.9,6.700,M,-28.722,M,0.8,"0061*6B
",328265.3693947606,4689554.834380941
161442.80,42.339313135,N,-71.08472787333334,W,5,14,0.9,6.700,M,-28.722,M,0.8,"0061*67
",328264.4727827674,4689555.678941198
161443.80,42.339321041666665,N,-71.08473947666667,W,5,15,0.9,6.666,M,-28.722,M,0.8,"0061*69
",328263.53841016605,4689556.5803523
161444.80,42.339328671666664,N,-71.08475012833334,W,5,14,0.9,6.649,M,-28.722,M,0.8,"0061*6D
",328262.68168414733,4689557.449119652
161445.80,42.339336698333334,N,-71.08476122666667,W,5,13,0.9,6.653,M,-28.722,M,0.8,"0061*62
",328261.78924127773,4689558.362836101
161446.80,42.339344831666665,N,-71.08477246666666,W,5,12,1.1,6.643,M,-28.722,M,0.8,"0061*64
",328260.88541836,4689559.288683333
161447.80,42.33935292,N,-71.08478393666667,W,5,14,0.9,6.582,M,-28.722,M,0.8,"0061*63
",328259.96252547373,4689560.2099983385
161448.80,42.33936109,N,-71.084795935,W,5,16,0.9,6.561,M,-28.722,M,0.8,"0061*61
",328258.9963303965,4689561.141449074
161449.80,42.33936841166667,N,-71.08480720333333,W,5,15,0.9,6.559,M,-28.722,M,0.8,"0061*65
",328258.08796427486,4689561.977224514
